host_response_time,host_response_rate,host_acceptance_rate,host_identity_verified,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month
within a day,1,N/A,f,Entire loft,Entire home/apt,3,1.5 baths,1,1,1434,4.95,4.71,4.95,5,4.95,5,4.86,f,0.19
N/A,N/A,N/A,t,Entire guest suite,Entire home/apt,2,1 bath,1,1,830,4.85,4.9,4.88,4.93,5,4.95,4.84,f,0.54
within an hour,1,0.9,t,Entire rental unit,Entire home/apt,6,2 baths,3,3,1469,4.57,4.82,4.71,4.92,4.92,4.58,4.71,f,0.31
N/A,N/A,N/A,t,Entire villa,Entire home/apt,2,1 bath,1,1,3658,,,,,,,,f,
within an hour,1,0.86,t,Entire home,Entire home/apt,14,5.5 baths,5,8,18000,4.58,4.56,4.7,4.87,4.78,4.98,4.48,f,0.46
within a few hours,1,0.7,t,Entire loft,Entire home/apt,2,2 baths,1,1,2561,4.87,4.9,4.71,4.91,4.85,5,4.83,f,0.7
within an hour,1,0.95,t,Entire condo,Entire home/apt,2,1 bath,1,1,650,4.87,4.95,4.88,4.98,4.94,4.75,4.79,f,0.58
within an hour,1,1,t,Private room in home,Private room,2,1 shared bath,1,1,1089,4.92,4.89,4.9,4.92,4.95,4.94,4.87,f,0.94
within an hour,1,1,t,Entire condo,Entire home/apt,2,1 bath,1,1,943,4.72,4.75,4.75,4.63,4.75,4.88,4.81,f,0.15
within a few hours,0.92,0.58,t,Entire home,Entire home/apt,16,5.5 baths,10,16,2561,4.73,4.74,4.69,4.88,4.88,4.34,4.75,f,0.95
within an hour,1,0.98,t,Entire rental unit,Entire home/apt,3,1 bath,1,2,1881,4.93,4.94,4.96,5,4.99,4.95,4.91,f,2.63
within a day,0.75,0.73,t,Entire rental unit,Entire home/apt,4,1 bath,2,2,2088,4.89,4.8,4.73,4.93,4.91,4.98,4.91,f,0.34
within an hour,1,1,t,Entire loft,Entire home/apt,2,1 bath,1,2,402,4.53,4.74,4.69,4.83,4.79,4.62,4.61,t,5.61
within a day,1,1,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,1097,4.9,4.9,4.95,4.95,4.98,4.96,4.92,f,0.84
within an hour,0.9,0.87,t,Room in serviced apartment,Hotel room,2,1 bath,1,1,1006,4.83,4.87,4.83,5,5,4.83,4.78,t,0.18
within an hour,0.9,0.87,t,Entire serviced apartment,Entire home/apt,2,1 bath,1,1,998,4.29,4.14,4.29,4.43,4.43,4.43,4.29,f,0.06
N/A,N/A,0,t,Private room in rental unit,Private room,2,1.5 baths,1,1,726,4.75,4.6,4.2,5,4.6,4.8,4.6,f,0.04
a few days or more,0,N/A,t,Private room in home,Private room,1,1.5 baths,1,1,375,4.4,5,4.6,5,4.8,4.4,4.4,f,0.04
N/A,N/A,0,t,Private room in rental unit,Private room,2,1 bath,1,2,2835,,,,,,,,f,
within an hour,1,0.99,t,Entire loft,Entire home/apt,2,1.5 baths,1,1,3413,5,5,5,5,4.78,4.89,4.78,f,0.12
within an hour,1,0.99,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,1200,4.76,4.84,4.84,4.96,4.96,4.89,4.68,f,0.77
within a few hours,1,N/A,f,Private room,Private room,2,1 private bath,1,1,1244,,,,,,,,f,
within a few hours,1,0.4,t,Tiny home,Entire home/apt,3,1 bath,2,2,817,4.91,5,4.91,5,5,5,4.82,f,0.1
N/A,N/A,N/A,t,Entire guest suite,Entire home/apt,3,1 bath,1,2,950,4.58,4.72,4.67,4.81,4.81,4.86,4.44,f,0.33
within an hour,1,1,t,Private room in home,Private room,1,1.5 baths,1,1,549,5,5,5,5,5,5,5,f,0.04
within a few hours,1,0.4,t,Entire loft,Entire home/apt,2,1 bath,1,1,672,4.89,4.89,4.78,5,5,5,4.78,f,0.08
within an hour,0.91,0.95,t,Entire rental unit,Entire home/apt,6,3 baths,3,4,2049,4.91,4.94,4.92,4.96,4.96,4.87,4.95,f,1.93
within an hour,1,1,t,Entire home,Entire home/apt,16,5 baths,5,10,3449,4.88,4.91,4.86,4.93,4.92,4.71,4.91,f,2.09
within a day,0.5,0.33,t,Private room in townhouse,Private room,2,1.5 shared baths,1,1,1543,4.97,4.94,4.97,4.98,4.96,4.96,4.95,f,1.41
within an hour,1,0.77,t,Private room in rental unit,Private room,2,1 shared bath,1,1,302,4.82,4.86,4.59,4.98,4.94,4.98,4.78,f,0.82
N/A,N/A,1,t,Private room in home,Private room,4,2.5 baths,2,4,500,4.96,4.93,4.93,4.93,4.93,4.7,4.85,f,0.25
within an hour,1,1,t,Entire rental unit,Entire home/apt,4,1 bath,2,2,1050,4.79,4.92,4.63,4.97,5,4.97,4.76,f,0.35
within a few hours,0.95,0.98,t,Entire condo,Entire home/apt,4,1 bath,2,2,672,4.85,4.94,4.8,4.91,4.94,4.66,4.77,f,0.53
N/A,N/A,N/A,t,Entire loft,Entire home/apt,5,1.5 baths,1,3,1434,4.62,4.72,4.68,4.69,4.68,4.93,4.64,f,3.3
within an hour,1,1,t,Entire loft,Entire home/apt,6,1 bath,1,1,1310,4.43,4.64,4.47,4.92,4.68,4.43,4.28,f,0.46
within an hour,1,1,t,Entire loft,Entire home/apt,2,1.5 baths,1,1,1037,4.77,4.86,4.68,4.89,4.86,4.89,4.7,f,0.33
within an hour,1,1,t,Entire serviced apartment,Entire home/apt,4,1 bath,2,2,794,4.7,4.7,4.4,4.85,4.9,4.85,4.8,t,0.18
within a few hours,1,1,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,50000,4.56,4.65,4.65,4.83,4.88,4.92,4.5,f,0.73
within a few hours,1,1,t,Entire loft,Entire home/apt,3,2 baths,1,2,5000,4.67,4.58,4.58,4.83,4.79,5,4.63,f,0.21
within a few hours,1,1,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,1900,4.67,4.66,4.81,4.87,5,4.96,4.67,f,0.49
within a few hours,1,0.75,t,Entire rental unit,Entire home/apt,3,1 bath,2,2,870,4.58,4.73,4.65,4.78,4.81,4.85,4.59,f,1.24
a few days or more,0.33,N/A,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,850,4.83,4.72,4.72,5,4.89,4.94,4.59,f,0.16
within an hour,1,1,t,Entire rental unit,Entire home/apt,4,1 bath,2,2,817,4.76,4.96,4.84,4.96,4.96,4.96,4.88,f,0.33
within a few hours,0.92,0.58,t,Private room in home,Private room,2,1.5 shared baths,1,1,402,4.73,4.72,4.67,4.9,4.92,4.46,4.8,f,1.02
within a few hours,1,1,t,Entire rental unit,Entire home/apt,4,2 baths,2,2,2800,4.9,4.98,4.9,5,5,4.88,4.98,f,0.42
N/A,N/A,0.33,t,Private room in rental unit,Private room,2,1 shared bath,1,,480,4.78,5,5,5,5,4.89,4.78,f,0.07
N/A,N/A,0,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,1200,4.58,4.59,4.31,4.77,4.85,4.96,4.42,f,0.21
within an hour,1,0.97,t,Entire rental unit,Entire home/apt,2,1 bath,1,2,788,4.88,4.93,4.86,4.98,4.98,4.95,4.9,f,0.43
within an hour,1,0.94,t,Entire home,Entire home/apt,6,2.5 baths,3,3,4714,4.75,4.75,4.25,5,4.75,4.5,4.25,f,0.05
within an hour,1,0.98,t,Entire rental unit,Entire home/apt,3,1 bath,1,2,1017,4.84,4.89,4.85,4.94,4.95,4.88,4.81,f,2.4
within an hour,1,0.98,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,900,4.88,4.84,4.88,4.96,4.93,4.89,4.84,f,1.79
within a few hours,1,0.81,t,Entire rental unit,Entire home/apt,1,1 bath,1,1,545,4.88,4.94,4.96,4.97,4.95,4.99,4.94,f,0.72
within a day,1,0,t,Entire rental unit,Entire home/apt,6,2 baths,3,4,2269,4.83,4.92,4.84,4.91,4.93,4.97,4.81,f,1.09
within an hour,0.9,0.87,t,Room in serviced apartment,Hotel room,2,1 bath,1,1,1006,4.97,4.97,4.94,5,5,4.97,4.97,t,0.25
within an hour,1,1,t,Entire loft,Entire home/apt,2,1 bath,1,2,1880,4.88,4.88,4.91,4.91,4.97,4.9,4.86,f,2.4
within an hour,0.9,0.87,t,Room in serviced apartment,Hotel room,2,1 bath,1,1,908,4.98,4.98,4.92,5,5,5,4.9,t,0.46
within an hour,0.9,0.87,t,Entire serviced apartment,Entire home/apt,2,1 bath,1,1,908,4.91,4.96,4.91,4.91,4.91,4.96,4.83,t,0.19
within an hour,1,1,t,Private room in rental unit,Private room,2,1 private bath,1,2,591,4.16,4.21,4.32,4.61,4.32,4.68,4.21,t,0.15
within an hour,1,1,t,Entire home,Entire home/apt,14,4.5 baths,4,10,3014,4.91,4.91,4.89,4.93,4.94,4.78,4.91,f,2.32
within a few hours,1,0.89,t,Private room in rental unit,Private room,2,1.5 baths,1,1,726,4.95,4.95,4.9,4.9,4.95,5,4.9,f,0.18
within a few hours,1,1,t,Entire rental unit,Entire home/apt,3,1 bath,1,1,1154,4.76,4.87,4.76,4.75,4.82,4.94,4.81,f,2.59
N/A,N/A,N/A,f,Entire rental unit,Entire home/apt,2,1 bath,,1,1815,,,,,,,,f,
within an hour,0.9,0.87,t,Room in serviced apartment,Hotel room,2,1 bath,1,1,908,4.95,5,4.95,5,5,4.95,4.95,t,0.25
within a few hours,0.92,0.58,t,Entire home,Entire home/apt,16,5.5 baths,10,16,2561,4.79,4.79,4.8,4.91,4.94,4.43,4.79,f,1.91
within a few hours,1,0.6,t,Entire rental unit,Entire home/apt,4,1 bath,2,2,1000,4.55,4.68,4.56,4.89,4.82,4.9,4.63,f,2.64
within an hour,1,0.91,t,Entire rental unit,Entire home/apt,2,1 bath,1,2,1532,4.93,4.91,4.94,4.91,4.96,4.92,4.89,f,0.44
within an hour,1,0.86,t,Room in serviced apartment,Hotel room,3,1 private bath,1,2,3162,4.71,4.71,5,5,5,5,4.86,t,0.07
within an hour,1,1,t,Entire guest suite,Entire home/apt,2,1 bath,1,1,726,4.59,4.66,4.65,4.86,4.87,4.95,4.7,f,3.32
N/A,N/A,0,f,Private room in rental unit,Private room,1,1 bath,1,1,545,,,,,,,,f,
within an hour,1,0.92,t,Private room in rental unit,Private room,2,1 private bath,1,1,699,4.75,4.73,4.87,4.89,4.92,4.94,4.77,f,2.01
N/A,N/A,0,f,Entire rental unit,Entire home/apt,4,2 baths,2,2,1362,4.78,4.87,4.88,4.89,4.73,4.9,4.8,f,0.89
within a few hours,1,0.75,t,Entire rental unit,Entire home/apt,3,1 bath,2,2,1200,4.65,4.74,4.6,4.77,4.8,4.85,4.64,f,1.41
within an hour,1,1,t,Entire serviced apartment,Entire home/apt,4,1 bath,2,3,796,4.73,4.81,4.71,4.83,4.92,4.44,4.73,t,1.22
within a few hours,1,0.85,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,2269,5,5,5,5,5,5,5,f,0.01
within an hour,1,1,t,Tiny home,Entire home/apt,3,1 bath,1,1,1556,4.83,4.93,4.92,4.9,4.93,4.93,4.79,f,4.04
within an hour,1,1,t,Entire rental unit,Entire home/apt,6,2 baths,2,3,545,4.76,4.87,4.73,4.91,4.91,4.44,4.73,f,0.38
within a day,1,0,f,Private room in condo,Private room,1,1 private bath,1,1,457,4.78,4.79,4.85,4.86,4.86,4.93,4.78,f,0.96
within an hour,1,1,t,Entire loft,Entire home/apt,5,1.5 baths,2,4,1448,4.82,4.85,4.82,4.84,4.94,4.93,4.88,f,2.49
within an hour,1,1,t,Private room in home,Private room,2,1.5 shared baths,1,1,327,4.8,4.81,4.83,4.87,4.93,4.74,4.84,f,1.66
within an hour,0.9,1,t,Entire condo,Entire home/apt,4,1 bath,2,2,1362,4.81,4.91,4.92,4.87,4.69,4.96,4.87,f,3.56
within an hour,1,1,t,Entire home,Entire home/apt,6,2.5 baths,2,2,1949,4.84,4.96,4.96,4.97,4.87,4.97,4.91,f,0.6
within an hour,1,0.93,t,Private room in rental unit,Private room,2,1.5 shared baths,1,1,713,4.84,4.89,4.72,4.91,4.94,4.87,4.75,t,1.42
within an hour,1,0.71,t,Entire home,Entire home/apt,6,4.5 baths,3,4,6354,5,5,5,5,5,4.95,4.68,f,0.17
within an hour,1,1,t,Private room in home,Private room,1,1.5 shared baths,1,1,327,4.96,4.92,4.9,4.88,4.94,4.94,4.86,f,0.45
within an hour,1,1,t,Private room in condo,Private room,2,1 private bath,1,1,529,4.87,4.87,4.8,4.91,4.93,4.89,4.81,f,1.24
within an hour,1,1,t,Private room in home,Private room,2,1.5 shared baths,1,1,272,4.82,4.88,4.76,4.94,5,4.56,4.75,t,0.25
within a day,1,0.88,t,Private room in rental unit,Private room,1,1 shared bath,1,1,450,4.69,4.92,4.23,4.85,4.85,4.92,4.62,f,0.12
N/A,N/A,1,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,1398,4.81,4.9,4.84,4.91,4.94,4.91,4.81,f,2.51
N/A,N/A,N/A,f,Private room in rental unit,Private room,1,1 bath,1,1,1006,,,,,,,,f,
within a few hours,1,1,t,Private room in condo,Private room,1,1 shared bath,1,1,896,4.82,4.57,4.96,4.96,4.75,4.93,4.71,f,0.24
within a day,0.83,0.86,t,Private room in guest suite,Private room,2,1 private bath,1,1,1036,4.93,4.94,4.97,4.96,4.91,4.97,4.94,f,1.33
N/A,N/A,1,t,Private room in rental unit,Private room,2,1 shared bath,1,1,500,5,5,5,5,5,5,5,f,0.4
within an hour,1,0.99,t,Entire rental unit,Entire home/apt,4,2 baths,2,2,1452,4.85,4.91,4.91,4.7,4.79,4.94,4.88,f,0.28
within a day,1,0.88,t,Private room in rental unit,Private room,1,1 shared bath,1,1,400,4.82,4.71,4.75,4.63,4.88,4.88,4.82,f,0.18
within an hour,1,1,t,Entire rental unit,Entire home/apt,4,1 bath,2,2,1400,4.88,4.93,4.88,4.95,4.98,4.99,4.87,f,3.18
within an hour,1,0.99,t,Entire loft,Entire home/apt,4,1 bath,,2,615,4.46,4.42,4.51,4.7,4.72,4.76,4.47,f,3.12
within a day,0.6,0.46,t,Private room in bed and breakfast,Private room,14,6 baths,6,10,14143,4.69,4.56,4.73,4.78,4.84,4.98,4.47,f,0.39
within an hour,1,0.92,t,Private room in rental unit,Private room,1,1 bath,1,1,450,4.92,4.92,4.84,4.97,4.97,4.89,4.89,f,0.37
within a few hours,1,0.77,t,Entire rental unit,Entire home/apt,3,2 baths,2,2,1250,4.92,4.85,4.62,4.88,4.96,4.88,4.69,f,0.24
within a day,0.67,0.82,t,Private room in rental unit,Private room,2,1 private bath,1,1,450,4.76,4.89,4.91,4.8,4.71,4.76,4.82,f,0.42
within a few hours,1,0.77,t,Private room in rental unit,Private room,3,1 shared bath,1,1,385,4.78,5,5,5,4.89,4.89,5,f,0.1
within a day,0.6,0,t,Private room in rental unit,Private room,2,1 bath,1,1,700,,,,,,,,f,
within an hour,1,0.85,t,Private room in rental unit,Private room,2,1 private bath,1,1,295,4.63,4.69,4.94,4.75,4.75,4.94,4.69,f,0.15
within an hour,1,1,t,Entire rental unit,Entire home/apt,3,1 bath,1,1,1180,4.41,4.47,4.76,4.71,4.53,4.88,4.35,f,0.15
within a day,1,1,t,Entire home,Entire home/apt,6,3.5 baths,3,3,4481,5,5,5,5,5,5,5,f,0.05
within an hour,1,0.99,t,Entire rental unit,Entire home/apt,4,1 bath,1,2,1797,4.75,4.79,4.83,4.96,4.96,4.75,4.71,t,0.22
within an hour,1,1,t,Private room in home,Private room,2,1.5 shared baths,1,2,700,4.86,4.86,4.6,4.95,4.96,4.95,4.86,f,1.12
N/A,N/A,N/A,f,Private room in rental unit,Private room,2,1 shared bath,1,1,381,4.94,5,5,4.94,5,4.56,4.81,f,0.15
within a day,1,1,t,Private room in home,Private room,2,1 private bath,1,1,908,4.78,4.84,4.89,4.95,4.84,4.95,4.68,f,0.18
within a few hours,1,1,t,Entire condo,Entire home/apt,2,1 bath,1,1,2500,4.77,4.82,4.77,4.9,4.95,5,4.48,f,0.17
N/A,N/A,0,t,Private room in rental unit,Private room,2,1.5 shared baths,1,2,599,4.84,4.96,4.94,4.87,4.89,4.96,4.8,f,0.65
N/A,N/A,0,f,Private room in rental unit,Private room,1,,1,1,457,1,1,1,1,3,1,1.5,f,0.02
within an hour,1,0.99,t,Entire loft,Entire home/apt,5,2 baths,2,2,1466,4.82,4.87,4.79,4.87,4.96,4.91,4.81,f,0.78
within an hour,1,0.93,t,Entire rental unit,Entire home/apt,2,1.5 baths,1,1,2033,4.9,4.93,4.94,4.92,4.88,4.96,4.87,f,1.97
within an hour,1,1,t,Private room in home,Private room,1,1.5 shared baths,1,1,732,5,5,5,5,5,5,5,f,0.02
within an hour,0.99,0.99,t,Entire rental unit,Entire home/apt,2,1 bath,1,2,685,4.43,4.61,4.67,4.79,4.7,4.88,4.41,f,0.84
within a day,1,0.5,t,Entire rental unit,Entire home/apt,4,1.5 baths,2,2,2559,4.86,4.95,4.9,5,4.86,5,4.76,f,0.25
within a day,1,1,t,Entire condo,Entire home/apt,2,2 baths,1,1,817,5,5,4.74,5,5,4.79,4.89,f,0.27
within a few hours,0.9,0.64,t,Entire rental unit,Entire home/apt,4,2 baths,3,,1071,3.38,3.38,3.5,3.75,3.75,3.25,3.5,f,0.07
within an hour,1,1,t,Entire rental unit,Entire home/apt,2,1 bath,1,2,876,4.94,5,4.88,4.94,4.97,4.91,4.91,f,0.26
within an hour,1,0.74,t,Entire loft,Entire home/apt,1,1 bath,1,1,1489,4.73,4.81,4.78,4.95,4.89,4.76,4.68,f,0.39
within a few hours,1,0.81,t,Private room in rental unit,Private room,1,1 shared bath,1,1,1900,,,,,,,,f,
N/A,N/A,N/A,t,Entire condo,Entire home/apt,1,1 bath,1,1,708,4.93,4.93,4.87,4.93,5,4.67,5,f,0.13
within an hour,1,0.92,t,Entire loft,Entire home/apt,2,1 bath,1,2,1350,4.64,4.76,4.76,4.92,4.9,4.87,4.67,f,1.33
within a few hours,1,0.81,t,Entire rental unit,Entire home/apt,7,3.5 baths,4,6,3420,4.92,4.92,4.96,5,4.83,4.88,4.88,f,0.19
within a few hours,1,0.81,t,Entire condo,Entire home/apt,6,2.5 baths,3,5,5820,5,5,5,5,5,5,5,f,0.02
a few days or more,0,0.86,t,Private room in home,Private room,1,1 shared bath,1,2,220,4.8,4.83,4.77,4.89,4.88,4.51,4.79,f,0.46
within an hour,1,0.95,t,Entire rental unit,Entire home/apt,4,1 bath,2,2,1237,4.82,4.91,4.84,4.92,4.95,4.98,4.86,t,0.75
within an hour,1,0.93,t,Entire rental unit,Entire home/apt,4,1 bath,1,2,1947,4.84,4.86,4.92,4.91,4.9,4.89,4.81,f,1.29
N/A,N/A,N/A,f,Private room in rental unit,Private room,1,1 bath,1,1,350,,,,,,,,f,
within a day,1,0.6,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,878,4.52,4.59,4.63,4.78,4.67,4.7,4.44,f,0.34
within an hour,1,1,t,Private room in guest suite,Private room,2,1 private bath,1,1,550,4.66,4.83,4.66,4.92,4.95,4.93,4.6,f,3.51
within a day,0.83,0.86,t,Private room in guest suite,Private room,2,1 private bath,1,1,1036,4.75,4.86,4.91,4.87,4.78,4.94,4.79,f,0.6
within an hour,1,0.99,t,Entire rental unit,Entire home/apt,2,1.5 baths,1,1,3089,4.86,4.92,4.84,4.94,4.88,4.9,4.71,f,1.22
within an hour,1,1,t,Private room in home,Private room,2,1 shared bath,1,1,1271,4.98,5,5,4.99,5,5,4.94,t,1.17
within an hour,1,0.97,t,Entire rental unit,Entire home/apt,5,2 baths,2,2,2723,4.96,4.96,5,5,4.96,5,4.91,f,0.2
within an hour,1,1,t,Entire rental unit,Entire home/apt,4,1 bath,2,3,2934,4.91,4.97,4.95,4.92,4.83,4.96,4.84,f,2.22
within an hour,1,0.99,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,2814,4.92,4.94,4.95,4.99,4.96,5,4.87,t,3.11
within an hour,1,1,t,Private room in condo,Private room,2,1 private bath,1,1,850,4.87,4.96,4.74,4.98,4.96,4.98,4.83,f,0.67
within a few hours,1,0.73,t,Private room in rental unit,Private room,1,1 bath,1,1,240,4.96,4.89,4.85,4.88,4.96,4.8,4.96,f,0.29
within an hour,1,1,t,Private room in home,Private room,2,1 private bath,1,1,400,5,5,5,5,5,5,5,f,0.02
N/A,N/A,N/A,f,Private room in rental unit,Private room,2,1 shared bath,1,1,381,4.88,4.88,5,4.88,4.96,4.54,4.77,f,0.22
within an hour,1,0.86,t,Room in serviced apartment,Hotel room,3,1 bath,1,1,2808,4,5,5,5,3,5,4,t,0.02
within an hour,1,0.91,t,Entire rental unit,Entire home/apt,4,2 baths,2,2,2941,4.95,4.97,4.94,4.98,4.95,4.98,4.92,t,1.69
within a few hours,1,0.63,t,Entire rental unit,Entire home/apt,3,1 bath,2,2,1216,4.6,4.76,4.79,4.97,4.67,4.87,4.6,f,0.3
N/A,N/A,0,t,Private room in rental unit,Private room,1,1.5 shared baths,1,1,250,4.67,4.33,5,4.67,4.67,5,4.33,f,0.03
N/A,N/A,0.67,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,420,4.58,4.69,4.17,4.83,4.67,4.67,4.42,f,0.68
N/A,N/A,N/A,t,Entire guesthouse,Entire home/apt,2,1 bath,1,1,900,4.76,4.84,4.79,4.92,4.87,4.94,4.69,f,0.57
N/A,N/A,1,f,Private room in rental unit,Private room,2,2 shared baths,1,1,566,5,5,5,5,5,5,5,f,0.03
within a few hours,0.92,0.58,t,Entire home,Entire home/apt,16,5.5 baths,10,16,2561,4.83,4.78,4.75,4.94,4.97,4.48,4.8,f,1.43
within an hour,1,1,t,Private room in guesthouse,Private room,2,1 private bath,1,1,545,4.9,4.78,4.8,4.98,4.98,4.73,4.8,f,0.4
within an hour,1,1,t,Private room in rental unit,Private room,2,1 private bath,1,1,600,4.63,4.75,4.5,4.94,4.94,4.88,4.75,t,0.15
N/A,N/A,1,t,Entire rental unit,Entire home/apt,4,3.5 baths,2,3,3068,4.74,4.82,4.77,4.88,4.77,4.97,4.77,f,1.05
within an hour,1,1,t,Entire condo,Entire home/apt,4,2 baths,2,2,1362,4.72,4.71,4.78,4.71,4.65,4.82,4.72,f,0.62
within an hour,1,0.64,t,Entire loft,Entire home/apt,2,1 bath,,1,980,4.79,4.9,4.88,4.94,4.89,4.84,4.78,f,1.1
within an hour,1,1,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,1685,4.92,4.88,4.95,4.98,4.98,4.95,4.85,f,2.76
within a few hours,1,0.77,t,Private room in rental unit,Private room,1,1 bath,1,1,290,4.81,4.85,4.78,4.89,5,4.85,4.63,f,0.25
within an hour,1,0.96,t,Entire rental unit,Entire home/apt,4,2 baths,2,2,1346,4.76,4.78,4.78,4.93,4.97,4.88,4.72,f,0.9
within an hour,1,0,t,Private room in rental unit,Private room,1,1 private bath,1,2,540,5,4.7,4.8,5,5,4.6,4.9,f,0.09
within an hour,1,0.94,t,Entire serviced apartment,Entire home/apt,2,1.5 baths,1,1,2564,4.9,4.94,4.96,4.85,4.9,4.96,4.9,f,1.83
within a few hours,1,0,t,Private room in rental unit,Private room,2,1 bath,1,1,366,4.83,5,4.83,4.83,4.83,4.5,4.67,f,0.05
within a day,0.5,0,t,Entire rental unit,Entire home/apt,2,1.5 baths,1,2,1362,4.67,4.82,4.68,4.73,4.59,4.59,4.59,f,0.19
within an hour,1,0.99,t,Entire rental unit,Entire home/apt,6,1 bath,2,2,594,4.7,4.42,4.7,4.88,4.94,4.61,4.73,t,0.31
within a few hours,1,N/A,t,Entire home,Entire home/apt,5,1 bath,3,4,549,4.67,4.67,4.17,4.83,4.67,4.42,4.42,f,0.12
within an hour,1,1,t,Entire loft,Entire home/apt,2,2 baths,1,2,1109,4.92,4.94,4.89,4.99,4.99,4.9,4.94,f,0.78
within a day,1,0.91,t,Private room in home,Private room,1,1.5 shared baths,1,1,220,4.5,5,4.5,5,5,5,5,f,0.03
within an hour,1,1,t,Private room in serviced apartment,Private room,2,1 private bath,1,1,750,4.97,4.98,4.99,4.98,4.97,4.96,4.98,f,1.72
within a few hours,1,0.81,t,Entire condo,Entire home/apt,4,1.5 baths,2,3,4938,5,5,5,5,5,5,5,f,0.01
within a few hours,1,0.81,t,Entire condo,Entire home/apt,2,1.5 baths,1,2,3731,5,5,5,5,4,3,4,f,0.01
N/A,N/A,1,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,914,4.77,4.85,4.73,4.94,4.91,4.76,4.83,t,0.65
within a few hours,1,0.81,t,Entire condo,Entire home/apt,4,2.5 baths,2,4,5809,5,5,5,5,5,5,5,f,0.04
within an hour,1,1,t,Entire rental unit,Entire home/apt,4,1 bath,2,2,1362,4.74,4.78,4.63,4.91,4.95,4.73,4.72,t,1.47
within an hour,1,0.99,t,Entire rental unit,Entire home/apt,4,1.5 baths,2,2,1232,4.81,4.84,4.89,4.93,4.95,4.96,4.82,t,2.05
within a day,1,0.91,t,Private room in home,Private room,1,1.5 shared baths,1,1,246,4.75,4.88,4.94,4.94,5,5,4.75,f,0.21
N/A,N/A,0,f,Shared room in rental unit,Shared room,2,1.5 shared baths,1,1,1815,,,,,,,,f,
within a few hours,1,1,t,Private room in guest suite,Private room,1,1 private bath,1,1,349,4.91,4.89,4.92,5,4.94,4.98,4.89,f,0.69
within an hour,1,1,t,Entire rental unit,Entire home/apt,3,1 bath,1,1,1989,4.85,4.88,4.83,4.97,4.98,4.94,4.76,t,2.27
N/A,N/A,N/A,t,Private room in condo,Private room,2,1 shared bath,1,1,549,5,5,5,5,5,4.67,4.67,f,0.05
within an hour,1,0.93,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,980,4.75,4.76,4.85,4.89,4.94,4.6,4.82,f,1.21
within an hour,1,0.64,t,Entire rental unit,Entire home/apt,4,2 baths,2,3,800,4.92,4.96,4.92,5,4.94,4.96,4.88,f,0.47
within an hour,1,0.98,t,Entire rental unit,Entire home/apt,2,1 bath,1,1,1943,4.86,4.88,4.89,4.97,4.97,4.9,4.84,f,2.71
within a day,1,0,t,Entire home,Entire home/apt,4,2.5 baths,2,2,5999,5,5,4.91,4.95,5,5,4.95,f,0.17
a few days or more,0,0,f,Private room in rental unit,Private room,1,1 bath,1,,650,,,,,,,,f,
N/A,N/A,N/A,f,Private room in condo,Private room,2,1 shared bath,1,1,1500,,,,,,,,f,
within a few hours,1,0.75,t,Entire rental unit,Entire home/apt,8,2.5 baths,3,3,9059,4.91,4.88,4.84,4.98,4.94,4.83,4.72,f,0.78
N/A,N/A,0,t,Private room in condo,Private room,1,1 bath,1,1,508,5,5,5,5,4,5,3,f,0.01
within an hour,1,0.94,t,Room in boutique hotel,Hotel room,2,1 private bath,1,1,2900,4.96,5,5,5,4.96,4.92,4.92,f,0.22
within an hour,1,0.98,t,Entire rental unit,Entire home/apt,3,1 bath,1,2,1757,4.92,4.91,4.91,4.99,4.99,4.94,4.87,f,2.63
within an hour,1,1,t,Entire condo,Entire home/apt,2,1 bath,1,1,788,4.95,4.89,4.92,4.97,5,4.78,4.92,f,0.58
within an hour,1,0.99,t,Entire condo,Entire home/apt,3,1 bath,1,1,1180,4.82,4.88,4.94,4.97,4.79,4.91,4.85,t,2.2
N/A,N/A,0,f,Private room in rental unit,Private room,1,1 bath,1,1,1171,,,,,,,,f,
within an hour,1,1,t,Entire home,Entire home/apt,10,3 baths,4,6,826,4.48,4.5,4.51,4.77,4.76,4.59,4.48,t,0.66
within an hour,1,0.9,t,Entire condo,Entire home/apt,6,2 baths,2,3,1000,4.75,4.77,4.7,4.81,4.91,4.92,4.76,f,2.06
